Film Title,Release Date,Year Nominated,Winner?,Genres,Period Peice?,Biopic?,Non-English?,RT Critic Score,RT Audience Score,MC Critic Score,MC User Score,MC User Score (Adjusted),iMDB Score,Letterboxd Score,Letterboxd Score (Adjusted),Audience Score Aggregate,Critical Score Aggregate,Oscar-bait Score,Percent Oscar Bait,Oscarbait Score (Excluding Reviews),,,
American Hustle,"December 13, 2013",2013,FALSE,"Comedy, Crime, Drama",FALSE,FALSE,FALSE,96,74,90,7.3,73,72,3.3,66,74,85,11,88,3,50,,
Gravity,"September 18, 2013",2013,FALSE,"Drama, Sci-Fi",FALSE,FALSE,FALSE,96,79,96,7.8,78,77,3.5,70,79,87,9,79,2,33.33333333,,Other Statistics That We Should Look At :
12 Years a Slave,"October 18, 2013",2013,TRUE,"Drama, Biography, History",TRUE,FALSE,FALSE,95,90,96,8.1,81,81,4.1,82,86,88,7,70,4,66.66666667,,Snubbed? Number of highest rated RT films vs nominees
Her,"December 18, 2013",2013,FALSE,"Drama, Romance",FALSE,FALSE,FALSE,95,82,91,8.6,86,80,4,80,84,91,5,62,2,33.33333333,,How likely is a more oscarbait / less film to get nominated?
The Wolf of Wall Street,"December 25, 2013",2013,FALSE,"Drama, Comedy, Biography",FALSE,TRUE,FALSE,80,83,75,6.6,66,82,4,80,75,73,4,58,4,66.66666667,,
Nebraska,"November 15, 2013",2013,FALSE,"Comedy, Drama",FALSE,FALSE,FALSE,91,83,86,8,80,77,3.9,78,82,86,3,53,2,33.33333333,,
Philomena,"November 21, 2013",2013,FALSE,"Drama, Comedy, Biography",FALSE,TRUE,FALSE,91,89,77,7.8,78,76,3.7,74,84,85,3,53,4,66.66666667,,"Limitations of the data : Only last x years. Would be more revealing to get a comprehensive overview
iMDB and Letterboxd can be contributed by anyone, not just critics or general uses
iMDB has a much larger sample size than other review platforms
The oscarbait algorithm is not perfect, by any means. Doesnt take into account a variety of factors
Not everyone reviews movies. People who leaave a review often have an existing bias. This is a miniscule sample of the poeple actualy watching a movie and, 
chances are if they're leaving a review they're 'into' movies more than the average joe."
Captain Phillips,"October 11, 2013",2013,FALSE,"Action, Thriller",FALSE,FALSE,FALSE,93,89,82,8.1,81,78,3.7,74,85,87,0,40,0,0,,
Dallas Buyers Club,"November 1, 2013",2013,FALSE,"Drama, LGBTQ+",FALSE,FALSE,FALSE,92,91,77,8.1,81,79,4,80,86,87,0,40,2,33.33333333,,"Conclusions - Do the academy awards nominations accurately represent contemporary audiences? Uh. We don't really know
We DO know that, generally, the academy awards pretty well represent critics views of films. This IS a contemporary audience, and one that, arguably the academy awards is targetted towards.
What about a general audience? Yeah, again to an extent. Does it represent our growing tastes? Not 100%... but what does. Everyone is different. 
What about movie creators, directors and produces? Yes. Out of all the contemporary audiences, the best view this gives us is of them.  "
Boyhood,11 July 2014,2014,FALSE,"Drama, Biography",FALSE,TRUE,FALSE,97,80,100,7.5,75,79,3.8,76,78,86,12,92,4,66.66666667,,Conclsuions - Review movies is hard.
Selma,"December 19, 2014",2014,FALSE,"History, Drama",TRUE,FALSE,FALSE,99,86,79,7.2,72,75,3.8,76,79,86,6,66,4,66.66666667,,
Birdman or (The Unexpected Virtue of Ignorance),"August 27, 2014",2014,TRUE,"Comedy, Drama, Superhero",FALSE,FALSE,FALSE,91,78,87,8.2,82,77,4,80,80,87,4,58,2,33.33333333,,
The Theory of Everything,"November 7, 2014",2014,FALSE,"Biography, Drama, Romance",TRUE,TRUE,FALSE,80,84,71,7.8,78,77,3.6,72,81,79,4,58,6,100,,
American Sniper,"December 25, 2014",2014,FALSE,"Drama, War, Biography",FALSE,TRUE,FALSE,72,84,73,6.6,66,73,3.3,66,75,69,3,53,4,66.66666667,,
The Grand Budapest Hotel,"March 7, 2014",2014,FALSE,"Comedy, Drama",FALSE,FALSE,FALSE,92,86,88,8.4,84,81,4.2,84,85,88,2,49,2,33.33333333,,
The Imitation Game,"November 8, 2014",2014,FALSE,"History, Drama, War, LGBTQ+",TRUE,FALSE,FALSE,90,91,71,8.1,81,80,3.8,76,86,86,1,45,4,66.66666667,,
Whiplash,"October 10, 2014",2014,FALSE,"Drama, Music",FALSE,FALSE,FALSE,94,94,89,8.8,88,85,4.4,88,91,91,1,45,2,33.33333333,,
Brooklyn,"November 4, 2015",2015,FALSE,"Romance, History, Drama",TRUE,FALSE,FALSE,97,87,88,7.9,79,75,3.8,76,83,88,6,66,4,66.66666667,,
Spotlight,"November 6, 2015",2015,TRUE,"Drama, Biography",FALSE,FALSE,FALSE,97,93,93,8.1,81,81,4.1,82,87,89,3,53,2,33.33333333,,
The Big Short,"December 11, 2015",2015,FALSE,"Comedy, Drama",FALSE,FALSE,FALSE,89,88,81,8.1,81,78,3.8,76,85,85,3,53,3,50,,
Mad Max: Fury Road,"May 14, 2015",2015,FALSE,"Action, Adventure, Sci-Fi",FALSE,FALSE,FALSE,97,86,90,8.5,85,81,4.2,84,86,91,2,49,0,0,,
Room,"October 16, 2015",2015,FALSE,Drama,FALSE,FALSE,FALSE,93,93,86,8.3,83,81,4,80,88,88,2,49,2,33.33333333,,
The Martian,"September 30, 2015",2015,FALSE,"Sci-Fi, Adventure, Drama",FALSE,FALSE,FALSE,91,91,80,8.1,81,80,3.7,74,86,86,2,49,2,33.33333333,,
Bridge of Spies,"September 16, 2015",2015,FALSE,"History, Mystery, Thriller",FALSE,FALSE,FALSE,91,87,81,7.6,76,76,3.6,72,82,84,1,45,0,0,,
The Revenant,"December 16, 2015",2015,FALSE,"Western, Action",FALSE,FALSE,FALSE,78,84,76,7.9,79,80,3.9,78,82,79,-3,28,0,0,,
Fences,"December 16, 2016",2016,FALSE,"Drama, Biography",TRUE,TRUE,FALSE,92,75,79,7.3,73,72,3.6,72,74,83,10,83,6,100,,
Moonlight,"September 2, 2016",2016,TRUE,"Drama, LGBTQ+",FALSE,FALSE,FALSE,98,79,99,7.1,71,74,4.2,84,75,85,8,75,2,33.33333333,,
La La Land,9 December 2016,2016,FALSE,"Musical, Romance, Drama",FALSE,FALSE,FALSE,91,81,94,8.3,83,80,4.1,82,82,87,6,66,3,50,,
Manchester by the Sea,"November 18, 2016",2016,FALSE,Drama,FALSE,FALSE,FALSE,96,78,96,8.2,82,78,4.1,82,80,89,6,66,2,33.33333333,,
Hell or High Water,"August 19, 2016",2016,FALSE,"Western, Action, Crime",FALSE,FALSE,FALSE,97,88,88,8.1,81,76,3.9,78,85,89,1,45,0,0,,
Hidden Figures,"December 25, 2016",2016,FALSE,"History, Drama",FALSE,FALSE,FALSE,93,93,74,7.5,75,78,3.8,76,84,84,1,45,2,33.33333333,,
Arrival,"November 11, 2016",2016,FALSE,"Sci-Fi, Mystery, Thriller",FALSE,FALSE,FALSE,94,82,81,8.2,82,79,4.1,82,82,88,0,40,0,0,,
Lion,"November 25, 2016",2016,FALSE,"Drama, Biography",FALSE,FALSE,FALSE,84,91,69,7.9,79,80,3.9,78,85,82,-2,32,2,33.33333333,,
Hacksaw Ridge,"November 4, 2016",2016,FALSE,"War, History, Drama",FALSE,FALSE,FALSE,84,91,71,8.3,83,81,3.9,78,87,84,-3,28,2,33.33333333,,
The Post,"December 18, 2017",2017,FALSE,"History, Drama",TRUE,TRUE,FALSE,88,74,83,7,70,72,3.4,68,72,79,10,83,6,100,,
Call Me by Your Name,"November 17, 2017",2017,FALSE,"Romance, Drama, LGBTQ+",TRUE,FALSE,FALSE,94,86,94,7.9,79,78,3.9,78,83,87,8,75,4,66.66666667,,
Lady Bird,"September 1, 2017",2017,FALSE,"Comedy, Drama",FALSE,FALSE,FALSE,99,79,93,7.6,76,74,3.9,78,78,88,8,75,2,33.33333333,,
Phantom Thread,"December 25, 2017",2017,FALSE,"Drama, Romance",TRUE,FALSE,FALSE,91,70,90,7.7,77,74,4.1,82,74,84,8,75,4,66.66666667,,
The Shape of Water,"November 11, 2017",2017,TRUE,"Fantasy, Romance, Drama",FALSE,FALSE,FALSE,92,73,87,7,70,73,3.7,74,72,81,7,70,2,33.33333333,,
Darkest Hour,"November 22, 2017",2017,FALSE,"History, War, Biography, Drama",TRUE,TRUE,FALSE,84,82,75,7.3,73,74,3.5,70,78,79,6,66,6,100,,
Dunkirk,"July 19, 2017",2017,FALSE,"War, History, Drama",FALSE,FALSE,FALSE,92,81,94,8.2,82,78,3.8,76,82,87,6,66,2,33.33333333,,
"Three Billboards Outside Ebbing, Missouri","November 10, 2017",2017,FALSE,"Crime, Drama, Comedy",FALSE,FALSE,FALSE,90,87,88,7.8,78,81,4,80,83,84,4,58,2,33.33333333,,
Get Out,"February 24, 2017",2017,FALSE,"Horror, Mystery, Thriller",FALSE,FALSE,FALSE,98,86,85,7.5,75,78,4.2,84,81,87,2,49,0,0,,
Roma,"December 14, 2018",2018,FALSE,"History, Drama",TRUE,FALSE,TRUE,96,72,96,7.7,77,77,4.1,82,75,87,9,79,3,50,,
The Favourite,"November 30, 2018",2018,FALSE,"Comedy, Drama",TRUE,FALSE,FALSE,93,70,91,7.7,77,75,4,80,74,85,9,79,4,66.66666667,,
Bohemian Rhapsody,"November 2, 2018",2018,FALSE,"Biography, History, Drama, LGBTQ+",TRUE,TRUE,FALSE,60,85,77,4.9,49,79,3.4,68,67,55,8,75,6,100,,
Green Book,"November 16, 2018",2018,TRUE,"Comedy, Drama",TRUE,TRUE,FALSE,77,91,80,6.9,69,82,3.7,74,80,73,6,66,6,100,,
BlacKkKlansman,"August 10, 2018",2018,FALSE,"Comedy, Drama, Crime",FALSE,FALSE,FALSE,96,83,83,7.3,73,75,3.9,78,78,85,5,62,2,33.33333333,,
A Star Is Born,"September 30, 2018",2018,FALSE,"Romance, Drama, Music",FALSE,FALSE,FALSE,90,79,88,8.4,84,76,3.6,72,82,87,4,58,2,33.33333333,,
Vice,"December 11, 2018",2018,FALSE,"Biography, Comedy, Drama",FALSE,TRUE,FALSE,65,61,61,6.6,66,72,3.4,68,64,66,4,58,5,83.33333333,,
Black Panther,"February 16, 2018",2018,FALSE,"Action, Adventure, Superhero",FALSE,FALSE,FALSE,96,79,88,7.9,79,73,3.6,72,79,88,4,58,0,0,,
Little Women,"December 25, 2019",2019,FALSE,Drama,TRUE,FALSE,FALSE,95,92,91,7.5,75,78,4.1,82,84,85,6,66,4,66.66666667,,
Once Upon a Time... in Hollywood,"July 26, 2019",2019,FALSE,"Comedy, Drama",FALSE,FALSE,FALSE,86,70,84,7.7,77,76,3.8,76,74,82,6,66,2,33.33333333,,
Marriage Story,"November 6, 2019",2019,FALSE,"Drama, Romance",FALSE,FALSE,FALSE,95,85,94,8.1,81,79,4,80,83,88,5,62,2,33.33333333,,
The Irishman,"November 1, 2019",2019,FALSE,"Crime, Drama",FALSE,FALSE,FALSE,95,86,94,8.1,81,78,3.9,78,84,88,5,62,2,33.33333333,,
1917,"December 25, 2019",2019,FALSE,"War, History, Drama",FALSE,FALSE,FALSE,89,88,78,8.3,83,82,4.1,82,86,86,1,45,2,33.33333333,,
Ford v Ferrari,"November 15, 2019",2019,FALSE,"History, Drama, Biography",FALSE,TRUE,FALSE,92,98,81,8.2,82,81,3.9,78,90,87,1,45,4,66.66666667,,
Parasite,"October 11, 2019",2019,TRUE,"Comedy, Mystery, Drama",FALSE,FALSE,TRUE,99,90,97,8.7,87,85,4.6,92,89,93,1,45,0,0,,
Jojo Rabbit,"September 8, 2019",2019,FALSE,"Comedy, Drama, War",FALSE,FALSE,FALSE,80,94,58,7.8,78,79,4,80,86,79,-6,15,2,33.33333333,,
Joker,"October 4, 2019",2019,FALSE,"Superhero, Crime, Drama",FALSE,FALSE,FALSE,69,88,59,8.8,88,84,3.8,76,88,79,-7,10,2,33.33333333,,
Mank,"November 13, 2020",2020,FALSE,"Biography, Comedy, Drama",TRUE,TRUE,FALSE,83,63,79,6.3,63,68,3.3,66,63,73,13,96,6,100,,
Judas and the Black Messiah,12 February 2021,2020,FALSE,"History, Drama, Biography",FALSE,TRUE,FALSE,97,95,84,7.3,73,74,4,80,84,85,5,62,5,83.33333333,,
Nomadland,19 February 2021,2020,TRUE,Drama,FALSE,FALSE,FALSE,93,82,87,7.3,73,73,3.8,76,78,83,5,62,2,33.33333333,,
The Trial of the Chicago 7,25 September 2020,2020,FALSE,"History, Drama",FALSE,TRUE,FALSE,89,90,76,7.5,75,77,3.7,74,83,82,3,53,4,66.66666667,,
Minari,"December 11, 2020",2020,FALSE,Drama,FALSE,FALSE,TRUE,98,87,89,8,80,74,4.1,82,84,89,2,49,1,16.66666667,,
The Father,26 February 2021,2020,FALSE,Drama,FALSE,FALSE,FALSE,98,92,88,8.6,86,82,4.3,86,89,92,2,49,2,33.33333333,,
Sound of Metal,20 November 2020,2020,FALSE,"Drama, Music",FALSE,FALSE,FALSE,97,90,82,8,80,77,4.2,84,85,89,1,45,2,33.33333333,,
Promising Young Woman,25 December 2020,2020,FALSE,"Comedy, Mystery, Thriller",FALSE,FALSE,FALSE,90,87,72,7.2,72,75,3.7,74,80,81,0,40,0,0,,
Licorice Pizza,26 November 2021,2021,FALSE,Comedy,TRUE,FALSE,FALSE,90,66,90,6.6,66,71,3.6,72,66,78,9,79,2,33.33333333,,
The Power of the Dog,"November 17, 2021",2021,FALSE,"Western, Drama, Romance",TRUE,FALSE,FALSE,94,76,89,6.5,65,68,3.7,74,71,80,9,79,4,66.66666667,,
Nightmare Alley,1 December 2021,2021,FALSE,"Myster & Thriller, Crime, Drama",TRUE,FALSE,FALSE,80,68,70,7,70,70,3.4,68,69,75,7,70,5,83.33333333,,
King Richard,19 November 2021,2021,FALSE,"Drama, Biography",TRUE,TRUE,FALSE,90,98,76,6.6,66,75,3.7,74,82,78,6,66,6,100,,
Drive My Car,24 November 2021,2021,FALSE,Drama,FALSE,FALSE,TRUE,97,78,91,7.4,74,75,4.2,84,76,86,4,58,0,0,,
Belfast,12 November 2021,2021,FALSE,"Drama, Biography",TRUE,FALSE,FALSE,86,92,75,6.7,67,72,3.5,70,80,77,3,53,4,66.66666667,,
CODA,13 August 2021,2021,TRUE,"Drama, Biography",FALSE,FALSE,FALSE,94,91,72,7.5,75,80,3.9,78,83,85,1,45,2,33.33333333,,
West Side Story,"December 10, 2021",2021,FALSE,"Musical, Romance",FALSE,FALSE,FALSE,92,93,85,7.1,71,71,3.6,72,82,82,1,45,1,16.66666667,,
Dune,22 October 2021,2021,FALSE,"Sci-Fi, Action, Adventure",FALSE,FALSE,FALSE,83,90,74,7.9,79,80,3.9,78,85,81,-3,28,0,0,,
Don't Look Up,10 December 2021,2021,FALSE,"Political, Drama, Comedy",FALSE,FALSE,FALSE,55,78,49,6.6,66,72,3,60,72,61,-4,23,3,50,,
TÃ¡r,"October 7, 2022",2022,FALSE,"Drama, Music",FALSE,FALSE,FALSE,91,74,93,7.4,74,74,3.9,78,74,83,7,70,2,33.33333333,,
The Banshees of Inisherin,26 December 2022,2022,FALSE,"Comedy, Drama",FALSE,FALSE,FALSE,96,75,87,7.5,75,77,4.1,82,75,86,7,70,2,33.33333333,,
Women Talking,"January 27, 2023",2022,FALSE,Drama,TRUE,FALSE,FALSE,90,80,77,6.2,62,69,3.8,76,71,76,7,70,4,66.66666667,,
The Fabelmans,11 November 2022,2022,FALSE,"Drama, Biography",TRUE,FALSE,FALSE,92,83,85,7.4,74,75,4,80,79,83,6,66,4,66.66666667,,
Elvis,24 June 2022,2022,FALSE,"Biography, Drama, Music",TRUE,TRUE,FALSE,77,94,74,6.2,62,73,3.3,66,78,70,5,62,6,100,,
Everything Everywhere All at Once,25 March 2022,2022,TRUE,"Comedy, Adventure, Sci-Fi",FALSE,FALSE,FALSE,93,86,81,7.6,76,78,4.3,86,81,85,1,45,1,16.66666667,,
Top Gun: Maverick,27 May 2022,2022,FALSE,"Action, Adventure",FALSE,FALSE,FALSE,96,99,78,7.4,74,82,4,80,87,85,-1,36,0,0,,
All Quiet on the Western Front,29 September 2022,2022,FALSE,"War, History, Drama, Action",FALSE,FALSE,TRUE,90,90,76,7.9,79,78,4,80,85,85,-2,32,0,0,,
Avatar: The Way of Water,16 December 2022,2022,FALSE,"Sci-Fi, Adventure, Fantasy",FALSE,FALSE,FALSE,76,92,67,7.2,72,76,3.6,72,82,74,-5,19,0,0,,
Triangle of Sadness,7 October 2022,2022,FALSE,Comedy,FALSE,FALSE,FALSE,72,80,63,7.1,71,73,3.7,74,76,72,-5,19,0,0,,
Maestro,22 November 2023,2023,FALSE,"Biography, Drama. Romance, LGBTQ+",TRUE,TRUE,FALSE,80,57,77,5.6,56,65,3.2,64,57,68,14,100,6,100,,
Poor Things,8 December 2023,2023,FALSE,"Comedy, Drama, Sci-Fi",FALSE,FALSE,FALSE,92,79,88,7.2,72,79,4.1,82,76,82,7,70,3,50,,
Oppenheimer,20 July 2023,2023,TRUE,"Biography, History, Drama",TRUE,TRUE,FALSE,93,91,90,8.5,85,83,4.2,84,88,89,6,66,6,100,,
Killers of the Flower Moon,20 October 2023,2023,FALSE,"Crime, Drama",TRUE,FALSE,FALSE,93,84,89,7.7,77,76,4.1,82,81,85,5,62,4,66.66666667,,
Past Lives,2 June 2023,2023,FALSE,"Romance, Drama",FALSE,FALSE,FALSE,95,84,94,8,80,79,4.2,84,82,88,5,62,2,33.33333333,,
The Zone of Interest,15 December 2023,2023,FALSE,"History, Drama, War",FALSE,FALSE,TRUE,93,78,92,7.4,74,75,3.9,78,76,84,5,62,0,0,,
Barbie,20 July 2023,2023,FALSE,Comedy,FALSE,FALSE,FALSE,88,83,80,6,60,68,3.9,78,72,74,3,53,0,0,,
American Fiction,"December 15, 2023",2023,FALSE,"Comedy, Drama",FALSE,FALSE,FALSE,93,96,81,7.3,73,75,3.7,74,85,83,2,49,2,33.33333333,,
The Holdovers,27 October 2023,2023,FALSE,"Holiday, Comedy, Drama",FALSE,FALSE,FALSE,97,92,82,8,80,79,4.2,84,86,89,2,49,2,33.33333333,,
Anatomy of a Fall,13 October 2023,2023,FALSE,"Drama, Crime, Mystery",FALSE,FALSE,TRUE,96,90,86,7.8,78,77,4.2,84,84,87,0,40,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,
"Calculated : 
+/- 1 Point per 5 point difference between RT Critic and Audience scores
+/- 1 Point per 5 point difference between MC Critic and Audience scores
+/- 1 Point per 5 point difference between iMDB and Letterboxd scores
+ 2 points if the film is a drama
+ 2 points if the film is a period peice
+ 2 points if the film is a biopic
- 2 points if the film is not in English
+ 2 points if the film saw international release within 3 months of the ceremony ",,,,,,,,,,,,,,,,,,,,,,,